word,count
*,30400
た,14021
ます,10155
です,8233
美味しい,4484
作る,4052
する,3000
日,2980
だ,2837
誕生,2479
ケーキ,2378
大,1998
おいしい,1831
チョコ,1573
好評,1439
バレンタイン,1370
レシピ,1306
また,1191
喜ぶ,1139
旦那,1069
お,1009
食べる,984
回,964
初,873
できる,854
スポンジ,836
ありがとう,821
濃厚,801
目,782
くれる,770
なる,755
しっとり,741
何,736
友達,718
家族,701
ない,693
とっても,662
美味,659
感謝,639
たい,636
娘,603
絶賛,589
初めて,573
簡単,542
味,537
れる,530
笑,527
用,525
息子,515
の,502
彼,495
クリスマス,492
クリーム,486
彼氏,483
ござる,467
度,464
さん,463
り,455
最高,436
もらえる,436
出来る,432
とても,429
好き,422
この,419
大好き,414
いる,411
すごい,406
決定,379
今回,378
ちゃう,374
みたい,373
店,370
みんな,369
素敵,361
みる,346
さ,343
すぎる,342
作れる,340
これ,337
成功,325
楽しみ,324
プレゼント,318
２,317
てる,312
感動,307
子供,304
明日,295
言う,289
ん,284
うまい,280
主人,279
今年,276
型,275
失敗,270
ぽい,268
私,267
絶対,259
実は,251
本当に,246
母,244
やっぱり,241
もう,236
感激,229
記念,229
め,228
やすい,227
二,227
喜び,226
満足,220
歳,219
お世話,215
ずっと,213
チョコレート,209
自分,208
挑戦,208
人,207
せる,206
ふわふわ,205
リクエスト,205
ぬ,202
ココア,201
めっちゃ,200
レポ,198
焼く,197
夫,196
超,195
く,191
結婚,188
次,180
いつも,180
膨らむ,179
父,178
ま,178
作り,177
つくる,172
ウマ,170
甘い,169
子,167
見た目,166
つくれる,164
様,162
られる,162
一,161
パパ,160
そう,159
３,158
中,157
頂く,155
前,155
幸せ,153
バースデー,153
思う,152
１,148
今,148
すっごい,145
まれ,142
いただく,138
練習,137
皆,135
ちょっと,131
買う,131
すぎ,130
嬉しい,130
もらう,130
わかる,130
上手,128
会,125
やっと,125
丁寧,124
いい,123
一緒,123
今日,122
今度,121
あげる,121
少し,120
早い,117
しまう,115
激,114
達,113
生,112
いく,112
分かる,112
褒める,111
とる,111
う,110
一番,106
くる,105
綺麗,104
度目,104
頑張る,103
持つ,101
妹,101
上手い,101
写真,98
気,97
祝い,97
年,97
渡す,97
ありがと,96
たっぷり,95
ホール,95
凄い,95
苦手,93
よい,89
す,88
もっと,88
お祝い,86
難しい,86
友人,85
良い,85
焼ける,85
形,84
ある,84
絶品,84
４,83
お気に入り,83
去年,83
いう,82
生地,81
これから,80
定番,80
よう,79
人気,78
でも,78
食,78
こんなに,77
入れる,77
遅い,77
毎年,77
過ぎる,76
美味い,76
悪い,75
弟,74
行く,74
段,74
完,73
日用,72
パーティー,72
為,72
楽しい,71
味見,71
完成,70
職場,69
ため,69
参考,69
たまる,68
個,68
うま,68
方,67
大人,66
さすが,66
かける,66
姉,65
ホント,64
かなり,64
デコレーション,63
やる,62
ハート,62
台,62
実家,62
たち,61
こんな,61
感,61
我が家,61
屋,61
っ子,60
本番,60
まくる,60
試作,60
毎回,60
ほんとに,59
側面,59
時,59
説明,59
姪,59
三,59
ほんと,58
５,58
的,58
びっくり,57
生クリーム,57
層,57
以上,57
大人気,55
忘れる,55
高い,55
本格,55
ホワイト,55
売る,54
またまた,54
苺,53
久々,53
塗る,52
カット,52
おかげ,52
サンド,51
めちゃくちゃ,51
初心者,51
挟む,51
こと,50
バレンタインデー,50
手土産,50
長男,50
たまらない,49
バナナ,49
切る,49
ごちそうさま,49
使う,49
足りる,49
確定,48
本当,48
抹茶,48
間違い,48
ご,47
パウダー,47
周り,47
もる,46
ミルク,46
ママ,46
貰える,45
両親,45
半分,45
ちゃん,45
久しぶり,45
作,45
甥,44
決める,44
もの,44
上,43
子ども,43
小,43
る,43
すぐ,42
次回,42
粉,42
続く,42
砂糖,41
入り,41
イチゴ,41
売り物,41
誉める,41
汚い,41
のせる,41
通り,40
後,40
分量,40
下手,39
有難う,39
翌日,39
手作り,39
フワフワ,39
間,39
納得,39
早速,39
家,39
本命,39
連続,39
たつ,38
固い,38
時間,38
あまり,38
旨,38
ビター,37
ご馳走様,37
義父,37
枝,37
友,37
すみません,37
感じ,37
まだ,37
やっぱ,37
ビックリ,36
売れる,36
番,36
全員,36
お母さん,36
くい,36
義母,36
大変,36
固まる,36
お父さん,36
神,36
なんとか,35
あっという間に,35
スライス,35
さま,34
撮る,34
評判,34
０,33
まぁ,33
しま,33
不器用,33
置く,32
作成,32
即,32
チャレンジ,32
昨日,31
汗,31
きれい,31
イマイチ,31
豪華,31
キレイ,31
いっぱい,31
乗せる,31
パーティ,30
人生,30
最後,30
ダンナ,30
ラム,30
断面,30
必ず,30
余る,30
寝かせる,30
なくなる,29
切れ,29
早め,29
こちら,29
意外と,29
めちゃめちゃ,29
枚,29
つ,29
雑,29
来年,28
うち,28
つく,28
分,28
コーティング,28
ふう,28
ブラック,28
先輩,28
助かる,28
涙,28
表面,28
位,28
量,27
アレンジ,27
号,27
お菓子,27
控えめ,27
ふんわり,27
祝,27
品,27
ファン,27
はじめて,27
市販,27
可愛い,27
大切,26
飾る,26
仕上げ,26
決まる,26
憧れる,26
残念,26
兄,26
作り方,26
今夜,26
洋酒,26
才,26
センチ,26
数,26
抜群,25
とろける,25
クルミ,25
泡立てる,25
夜,25
親友,25
晩,25
相変わらず,25
事,25
残る,24
次男,24
土産,24
念願,24
間違える,24
やつ,24
虜,24
頼む,24
あ,24
ふる,23
何とか,23
ちゃんと,23
来る,23
予定,23
想像,23
詳しい,23
昨年,23
旨い,23
ステキ,23
いびつ,23
ぶり,23
会社,23
笑顔,22
小さい,22
我慢,22
物,22
酒,22
サイズ,22
続ける,22
見る,22
易い,22
前回,22
出る,22
スクエア,22
もちろん,22
嬉,22
ヶ月,21
微妙,21
出す,21
君,21
かかる,21
有難い,21
素晴らしい,21
又,21
ちる,21
牛乳,21
クッキー,21
あと,20
気に入る,20
たくさん,20
うれしい,20
先,20
デー,20
ごめんなさい,20
学校,20
６,20
倍,20
再,20
待つ,20
確実,20
教える,19
ハマる,19
残り,19
卵,19
配る,19
２つ,19
風,19
出来,19
長女,19
無い,19
始める,19
口,19
冷やす,19
いつ,19
手順,19
宅,19
しっかり,18
思える,18
おく,18
バージョン,18
材料,18
周年,18
使用,18
工程,18
混ぜる,18
きれる,18
ばあちゃん,18
多め,18
がんばる,18
出来上がる,17
全部,17
たべる,17
ごく,17
トッピング,17
丸,17
ドキドキ,17
いちご,17
そして,17
完売,17
アーモンド,17
無し,17
下,17
ハロウィン,17
しかも,17
毎度,17
